Word,Sense_count
androgynous,2
ane,1
anecdotal,2
anecdotic,1
anecdotical,1
anechoic,1
anemic,2
anemographic,1
anemometric,1
anemometrical,1
anemophilous,1
anencephalic,1
anencephalous,1
aneroid,1
anesthetic,2
anestric,1
anestrous,2
aneuploid,1
aneurismal,1
aneurismatic,1
aneurysmal,1
aneurysmatic,1
anfractuous,1
angelic,3
angelical,3
angered,1
anginal,1
anginose,1
anginous,1
angiocarpic,1
angiocarpous,1
angiomatous,1
angiospermous,1
angled,1
anglican,1
anglo-catholic,1
anglo-indian,1
anglo-jewish,1
anglo-saxon,1
anglophilic,1
anglophobic,1
angolan,1
angry,3
anguillan,1
anguine,1
anguished,1
angular,2
angulate,1
anhydrous,1
anicteric,2
anile,1
animal,1
animalistic,1
animate,3
animated,2
animating,1
animatistic,1
animist,1
animistic,1
anionic,1
anise-scented,1
aniseikonic,1
anisogametic,1
anisogamic,1
anisogamous,1
anisometric,1
anisometropic,1
anisotropic,1
ankle-deep,1
ankylotic,1
annalistic,1
annelid,1
annelidan,1
annexal,1
annexational,1
annihilated,1
annihilating,2
annihilative,1
announced,1
annoyed,2
annoying,1
annual,2
annular,1
annulate,1
annulated,1
annunciatory,1
anodal,1
anodic,1
anodyne,1
anoestrous,1
anomalous,1
anomic,1
anon.,1
anonymous,2
anoperineal,1
anopheline,1
anorectal,1
anorectic,2
anorexic,1
anorexigenic,1
anorthic,1
anorthitic,1
anosmatic,1
anosmic,2
another,1
anoxemic,1
anoxic,1
anserine,2
answerable,2
answering,1
antacid,1
antagonistic,5
antarctic,1
ante_meridiem,1
antebellum,1
antecedent,1
antecubital,1
antediluvial,1
antediluvian,2
antemeridian,1
antemortem,1
antenatal,1
antennal,1
antennary,1
antenuptial,1
antepartum,1
antepenultimate,1
anterior,2
anterograde,1
anthelminthic,1
anthelmintic,1
antheral,1
antheridial,1
anthophagous,1
anthophilous,1
anthracitic,1
anthropic,1
anthropical,1
anthropocentric,1
anthropogenetic,1
anthropogenic,1
anthropoid,2
anthropoidal,1
anthropological,1
anthropometric,1
anthropometrical,1
anthropomorphic,1
anthropomorphous,1
anthropophagous,1
anti,1
anti-american,1
anti-intellectual,1
anti-semite,1
anti-semitic,1
antiadrenergic,1
antiaircraft,1
antiapartheid,1
antiauthoritarian,1
antibacterial,1
antibiotic,1
antiblack,1
antic,1
anticancer,1
anticholinergic,1
anticipant,1
anticipated,1
anticipative,1
anticipatory,1
anticlimactic,2
anticlimactical,1
anticlinal,1
anticlockwise,1
anticoagulative,1
anticyclonic,1
antidotal,1
antidromic,1
antiferromagnetic,1
antifertility,1
antifungal,1
antigenic,1
antiguan,1
antiheretical,1
antiknock,1
antiknocking,1
antimagnetic,1
antimicrobial,1
antimicrobic,1
antimonial,1
antimonic,1
antimonious,1
antimonopoly,1
antineoplastic,1
antinomian,1
antiparallel,1
antipathetic,2
antipathetical,2
antipersonnel,1
antiphlogistic,1
antiphonal,2
antiphonary,1
antipodal,1
antipodean,1
antipollution,1
antipyretic,1
antiquarian,2
antiquated,1
antique,3
antisatellite,1
antisemitic,1
antiseptic,4
antisocial,2
antistrophic,1
antisubmarine,1
antitank,1
antithetic,1
antithetical,1
antithyroid,1
antitoxic,1
antitrust,1
antitumor,1
antitumour,1
antitypic,2
antitypical,2
antiviral,1
antler-like,1
antlered,1
antonymous,1
antrorse,1
antsy,1
anuran,1
anuretic,1
anuric,1
anurous,1
anxiolytic,1
anxious,2
any,1
aoristic,1
aortal,1
aortic,1
apart,2
apathetic,2
apelike,2
aperient,1
aperiodic,1
apetalous,1
aphaeretic,1
aphakic,1
aphanitic,1
aphasic,2
apheretic,1
aphetic,1
aphonic,1
aphoristic,2
aphotic,1
aphrodisiac,1
aphrodisiacal,1
aphyllous,1
apian,1
apiarian,1
apical,1
apiculate,1
apicultural,1
apish,1
apivorous,1
aplacental,1
aplanatic,1
aplitic,1
apneic,1
apnoeic,1
apocalyptic,2
apocalyptical,1
apocarpous,1
apochromatic,1
apocrine,1
apocryphal,2
apocynaceous,1
apodal,1
apodeictic,1
apodictic,1
apodous,1
apogametic,1
apogamic,1
apogamous,1
apogean,1
apolitical,1
apologetic,1
apomictic,2
apomictical,1
aponeurotic,1
apopemptic,1
apophatic,1
apophyseal,1
apoplectic,1
apoplectiform,1
apoplectoid,1
aposiopetic,1
apostate,1
apostolic,2
apostolical,2
apostrophic,1
apothecial,1
apothegmatic,2
apothegmatical,1
apotropaic,1
appalachian,1
appalled,1
appalling,1
appareled,1
apparent,2
apparitional,1
appealable,1
appealing,2
appeasable,1
appeasing,1
appellant,1
appellate,1
appellative,2
appendaged,1
appendant,1
appendicular,1
apperceptive,1
appetent,1
appetising,1
appetitive,1
appetizing,1
applaudable,1
apple-scented,1
apple-shaped,1
apple-sized,1
applicable,1
applicative,1
applicatory,1
applied,1
appointed,4
appointive,2
apportionable,1
apportioned,1
apposable,1
apposite,1
appositional,1
appositive,1
appraising,1
appreciable,1
appreciated,1
appreciative,2
apprehended,1
apprehensible,1
apprehensive,3
apprenticed,1
appressed,1
approachable,3
approaching,1
approbative,1
approbatory,1
appropriable,1
appropriate,1
appropriative,1
approved,1
approving,1
approximate,3
approximative,1
appurtenant,1
apractic,1
apraxic,1
apropos,1
apsidal,1
apt,4
apteral,2
apterous,1
aptitudinal,1
aquacultural,1
aquaphobic,1
aquatic,2
aqueous,2
aquicultural,1
aquiferous,1
aquiline,1
arabian,2
arabic,1
arable,1
araceous,1
arachnidian,1
arachnoid,1
aramaean,1
aramaic,1
aramean,1
araneidal,1
araneidan,1
arawakan,1
arbitrable,1
arbitral,1
arbitrary,1
arbitrational,1
arbitrative,1
arboraceous,1
arborary,1
arboreal,3
arboreous,3
arborescent,1
arboresque,1
arborical,1
arboriform,1
arborous,1
arcadian,1
arcane,1
arced,1
arch,2
archaean,1
archaeologic,1
archaeological,1
archaeozoic,1
archaic,2
archaistic,1
archangelic,1
archangelical,1
archdiocesan,1
archducal,1
archean,1
arched,2
archegonial,1
archegoniate,1
archeologic,1
archeological,1
archeozoic,1
archepiscopal,1
archesporial,1
archetypal,1
archetypical,1
archidiaconal,1
archiepiscopal,1
arching,1
archipelagic,1
architectonic,1
architectural,1
archival,1
archosaurian,1
arciform,1
arco,1
arctic,2
arcuate,1
ardent,3
arduous,3
areal,1
arenaceous,1
arenicolous,1
areolar,1
areolate,1
argent,1
argentic,1
argentiferous,1
argentine,1
argentinian,1
argentous,1
argillaceous,1
argive,1
arguable,2
argumentative,1
argus-eyed,2
arid,2
ariled,1
arillate,1
ariose,1
aristocratic,1
aristocratical,1
aristotelean,1
aristotelian,1
aristotelic,1
arithmetic,1
arithmetical,1
armed,3
armenian,1
armillary,1
arminian,1
armless,1
armlike,1
armor-clad,1
armor-plated,1
armored,3
armorial,1
armour-clad,1
armour-plated,1
armoured,2
aroid,1
aromatic,2
around-the-clock,1
around_the_bend,1
aroused,6
arranged,3
arrant,1
arrayed,1
arresting,1
arrhythmic,2
arrhythmical,1
arrogant,1
arrow-shaped,1
arsenical,1
arsenious,1
artefactual,1
arterial,1
arteriolar,1
arteriosclerotic,1
arteriovenous,1
artesian,1
artful,2
arthralgic,1
arthritic,1
arthromeric,1
arthropodal,1
arthropodan,1
arthropodous,1
arthrosporic,1
arthrosporous,1
arthurian,1
articled,1
articular,1
articulary,1
articulate,2
articulated,1
articulative,1
articulatory,1
artifactual,1
artificial,3
artiodactyl,1
artiodactylous,1
artistic,3
artless,4
artsy-craftsy,1
arty,1
arty-crafty,1
arundinaceous,1
aryan,1
asat,1
ascendable,1
ascendant,2
ascendent,2
ascendible,1
ascending,1
ascensional,1
ascensive,1
ascertainable,1
ascertained,1
ascetic,2
ascetical,2
ascitic,1
asclepiadaceous,1
ascocarpous,1
ascomycetous,1
ascosporic,1
ascosporous,1
ascribable,1
aseptic,1
asexual,1
ash-blonde,1
ash-gray,1
ash-grey,1
ashamed,1
ashen,2
ashy,1
asian,1
asiatic,1
asinine,1
askance,1
askant,1
askew,1
aslant,1
asleep,3
aslope,1
asocial,2
aspectual,1
asphaltic,1
aspheric,1
aspherical,1
asphyxiated,1
asphyxiating,1
aspirant,1
aspiring,1
asquint,1
assailable,1
assamese,1
assassinated,1
assaultive,1
assentient,1
assertable,1
asserted,1
asserting,1
assertive,1
assessable,2
assiduous,1
assignable,1
assigned,1
assimilable,1
assimilating,1
assimilative,2
assimilatory,1
assistant,1
assisted,1
assistive,1
associable,1
associate,1
associational,1
associative,1
associatory,1
assonant,2
assorted,2
assuasive,1
assumed,1
assuming,1
assumptive,2
assured,2
assurgent,2
assuring,1
astatic,1
asteriated,1
asterisked,1
asterismal,1
asternal,1
asteroid,1
asteroidal,1
asthenic,2
asthmatic,1
astigmatic,1
astir,2
astomatal,1
astomatous,1
astonied,1
astonished,1
astonishing,2
astounded,1
astounding,2
astragalar,1
astral,1
astringent,2
astrocytic,1
astrological,1
astronautic,1
astronautical,1
astronomic,2
astronomical,2
astrophysical,1
astute,1
astylar,1
asunder,1
asymmetric,1
asymmetrical,2
asymptomatic,1
asymptotic,1
asynchronous,2
asyndetic,1
asynergic,1
at_a_loss,1
at_bay,1
at_fault,1
at_hand,2
at_large,1
at_loggerheads,1
at_odds,1
at_peace,1
at_rest,2
at_sea,1
at_the_ready,1
at_variance,1
at_work,1
atactic,1
ataractic,1
ataraxic,1
atavistic,1
ataxic,1
ateleiotic,1
atheist,1
atheistic,2
atheistical,2
athenian,1
atheromatic,1
atheromatous,1
atherosclerotic,1
athirst,1
athletic,3
atilt,1
atlantic,1
atmospheric,1
atmospherical,1
atomic,3
atomistic,1
atomistical,1
atonal,1
atonalistic,1
atonic,2
atoxic,1
atrabilious,1
atrial,1
atrioventricular,1
atrip,1
atrocious,3
atrophic,1
atrophied,1
attachable,1
attached,4
attacking,1
attainable,1
attained,1
attempted,1
attendant,2
attended,2
attention-getting,2
attentional,1
attentive,2
attenuate,1
attenuated,2
attested,1
attic,1
attired,1
attitudinal,1
attractable,1
attractive,3
attributable,1
attributive,1
attributive_genitive,1
attrited,1
attritional,1
atypic,1
atypical,2
au_courant,1
au_fait,1
au_gratin,1
au_jus,1
au_naturel,1
auburn,1
auctorial,1
audacious,3
audenesque,1
audible,1
audile,1
audiometric,1
audiovisual,1
auditive,1
auditory,1
augean,1
augitic,1
augmentative,2
augmented,1
august,2
augustan,1
auld,1
aural,2
aureate,2
auric,1
auricular,3
auriculate,1
auriculated,1
auriculoventricular,1
auriferous,1
auriform,1
auroral,2
aurorean,1
aurous,1
auscultatory,1
auspicious,1
austenitic,1
austere,3
austral,1
australasian,1
australian,1
australopithecine,1
austrian,1
austronesian,1
autacoidal,1
autarchic,1
autarchical,1
autarkic,1
autarkical,2
authentic,2
authenticated,1
authorial,1
authorised,2
authoritarian,2
authoritative,3
authorized,2
autistic,1
autobiographic,2
autobiographical,2
autocatalytic,1
autochthonal,1
autochthonic,1
autochthonous,2
autocratic,2
autodidactic,1
autoecious,1
autoerotic,1
autofluorescent,1
autogamic,1
autogamous,1
autogenetic,1
autogenic,1
autogenous,1
autographed,1
autographic,1
autoicous,1
autoimmune,1
autoloading,1
autologous,1
autolytic,1
automated,1
automatic,3
automatonlike,1
automotive,2
autonomic,1
autonomous,3
autophytic,1
autoplastic,1
autoradiographic,1
autosemantic,1
autosomal,1
autotelic,1
autotomic,1
autotrophic,1
autotypic,1
autumn-blooming,1
autumn-flowering,1
autumnal,2
auxetic,1
auxiliary,2
auxinic,1
available,3
avant-garde,1
avaricious,1
avascular,1
avellan,1
avellane,1
avenged,1
average,6
averse,1
aversive,1
avertable,1
avertible,1
avestan,1
avian,1
avid,2
avifaunal,1
avifaunistic,1
avionic,1
avirulent,1
avitaminotic,1
avocado,1
avocational,1
avoidable,1
avowed,1
avuncular,2
awaited,1
awake,2
awakened,2
award-winning,1
aware,2
awash,1
away,3
awe-inspiring,1
aweary,1
awed,2
aweigh,2
aweless,2
awesome,1
awestricken,1
awestruck,1
awful,6
awheel,1
awing,1
awkward,6
awl-shaped,1
awless,2
awned,1
awninged,1
awnless,1
awny,1
awol,1
awry,2
axenic,2
axial,3
axile,1
axillary,2
axiological,1
axiomatic,3
axiomatical,1
axonal,1
azerbaijani,1
azido,1
azimuthal,1
azo,1
azoic,1
azonal,1
azonic,1
azotemic,1
azotic,1
azure,1
azygos,1
azygous,1
babelike,1
baboonish,1
baby-faced,1
babyish,1
babylonian,1
baccate,2
bacchanal,1
bacchanalian,1
bacchantic,1
bacchic,1
bacciferous,1
baccivorous,1
bacillar,2
bacillary,2
bacilliform,1
back,3
back-channel,1
back-geared,1
back-to-back,1
backbreaking,1
backed,2
backhand,2
backhanded,2
backless,1
backmost,1
backstage,1
backstair,1
backstairs,1
backswept,1
backward,4
bacteremic,1
bacterial,1
bactericidal,1
bacterioid,1
bacterioidal,1
bacteriologic,1
bacteriological,1
bacteriolytic,1
bacteriophagic,1
bacteriophagous,1
bacteriostatic,1
bacteroid,1
bacteroidal,1
baculiform,1
bad,14
bad-mannered,1
bad-tempered,1
baffled,1
baffling,1
bag-shaped,1
baggy,1
bahai,1
bahamian,1
bahraini,1
bailable,2
baked,2
baking,1
baking_hot,1
balanced,1
balconied,1
bald,3
bald-faced,2
bald-headed,1
bald-pated,1
balding,1
baleful,2
balking,1
balky,1
ball-hawking,1
ball-shaped,1
balletic,1
ballistic,1
bally,1
balmy,2
balsam-scented,1
balsamic,1
balsamy,1
baltic,2
balzacian,1
banal,1
banausic,1
bandaged,1
banded,3
bandy,1
bandy-legged,1
baneful,2
bang-up,1
banging,1
bangladeshi,1
bankable,2
bankrupt,1
banned,1
banner,1
bantam,1
bantering,1
bantoid,1
bantu,1
bantu-speaking,2
baptised,1
baptismal,1
baptistic,1
baptized,1
bar-shaped,1
barbadian,1
barbarian,1
barbaric,2
barbarous,2
barbate,1
barbecued,1
barbed,2
barbellate,1
bardic,1
bare,10
bare-ass,1
bare-assed,1
bare-breasted,1
bare-knuckle,1
bare-knuckled,1
bareback,1
barebacked,1
bared,1
barefaced,2
barefoot,1
barefooted,1
barehanded,1
bareheaded,1
barelegged,1
bargain-priced,1
baric,1
baritone,1
barky,1
barmy,2
barographic,1
barometric,1
barometrical,1
baronial,1
baroque,2
barred,2
barrel-shaped,1
barreled,2
barrelled,2
barren,3
barricaded,1
barytic,1
basal,3
basaltic,1
base,7
base-forming,1
baseborn,2
based,2
baseless,1
bashful,2
basic,4
basidial,1
basidiomycetous,1
basidiosporous,1
basifixed,1
basilar,1
basilary,1
basilican,1
basinal,1
basined,1
basipetal,1
basiscopic,1
basket-shaped,1
basophilic,1
bass,1
bastard,1
bastardised,1
bastardized,1
bastardly,2
bastioned,1
bated,1
bathetic,1
batholithic,1
batholitic,1
bathyal,1
bathymetric,1
bathymetrical,1
batrachian,1
bats,1
batter-fried,1
battered,3
battery-powered,1
battle-scarred,1
battleful,1
battlemented,2
batty,1
batwing,1
bauxitic,1
